"year","reefName","cotsPerTow","softCorCov","hardCorCov","source","bleachPercent","bleachSeverity","sourceBoth","controlled","x","y"
1986,"Stanley Reef (19-045)",0.0348837209302326,NaN,34.4098837209302,"AIMS",NaN,NaN,FALSE,FALSE,148.0796814,-19.29451752
1986,"Stucco Reef (19-141)",0,NaN,23.6818181818182,"AIMS",NaN,NaN,FALSE,FALSE,149.59751892,-19.55791283
1986,"Sweetlip Reef (22-140)",0.0857142857142857,NaN,25.4428571428571,"AIMS",NaN,NaN,FALSE,FALSE,152.73731995,-22.27070427
1986,"Swinger Reef (15-030)",0,NaN,23.3125,"AIMS",NaN,NaN,FALSE,FALSE,145.53718567,-15.24224567
1986,"Thetford Reef (16-068)",0,NaN,37.3617021276596,"AIMS",NaN,NaN,FALSE,FALSE,146.18086243,-16.80299377
1986,"Thomas Reef (21-497)",0,NaN,45.6785714285714,"AIMS",NaN,NaN,FALSE,FALSE,152.34248352,-21.66396904
1986,"Three Reefs (11-223)",0,NaN,33.5084745762712,"AIMS",NaN,NaN,FALSE,FALSE,143.89483643,-11.76935005
1986,"Tideway Reef (No 1) (19-205a)",0,NaN,24.0169491525424,"AIMS",NaN,NaN,FALSE,FALSE,149.72459412,-20.01020241
1986,"Tile Reef (19-151)",0,NaN,21.1382978723404,"AIMS",NaN,NaN,FALSE,FALSE,149.84999084,-19.61589622
1986,"Triangle Reef (10-391)",0.0531914893617021,NaN,28.4255319148936,"AIMS",NaN,NaN,FALSE,FALSE,143.98234558,-10.75539112
1986,"Two Islands Reef (15-002)",0,NaN,24.5,"AIMS",NaN,NaN,FALSE,FALSE,145.44151306,-15.02282429
1986,"Tydeman Reef (13-133)",0,NaN,35.0945945945946,"AIMS",NaN,NaN,FALSE,FALSE,144.52000427,-13.98367882
1986,"U/N Reef (10-351)",0,NaN,30.86875,"AIMS",NaN,NaN,FALSE,FALSE,143.19032288,-10.73180485
1986,"U/N Reef (10-352)",0.0161290322580645,NaN,23.4838709677419,"AIMS",NaN,NaN,FALSE,FALSE,143.33677673,-10.73468304
1986,"U/N Reef (10-386)",0,NaN,34.5151515151515,"AIMS",NaN,NaN,FALSE,FALSE,143.97961426,-10.72316742
1986,"U/N Reef (12-071)",0,NaN,23.0862068965517,"AIMS",NaN,NaN,FALSE,FALSE,143.77137756,-12.48882198
1986,"U/N Reef (12-097)",0,NaN,19.5,"AIMS",NaN,NaN,FALSE,FALSE,143.78552246,-12.57677174
