"reefName","cotsPerTowMean","cotsPerTowMedian","nObs","x","y","area"
"Jaguar Reef (18-120)",0.0104104104104104,0,9,148.42677307,-18.9756794,3522021.054
"Jenkins Reef (21-584)",0.651649474408095,0.0256410256410256,9,152.59945679,-21.95517349,3536343.586
"Jessie-Kent Reef (17-043a)",0,0,5,146.17663574,-17.67463112,776362.5123
"Jewell Reef (14-079)",0.00135869565217391,0,4,145.35128784,-14.37976837,49592265.05
"Joan Reef (13-128)",0,0,6,144.34959412,-13.94645691,1326416.645
"John Brewer Reef (18-075)",1.47407012164048,0.00840336134453781,35,147.05296326,-18.63109779,24587672.61
"Judith Wright Reef (18-101)",0.122287372757362,0.023696682464455,9,147.95126343,-18.89966774,39646138.09
"Jupiter Reef (18-115)",0,0,6,148.25306702,-18.92404175,2568013.226
"Kangaroo Reef (East) (19-063a)",0.00919678714859438,0,8,148.61715698,-19.26265907,106622026
"Kangaroo Reef (West) (19-063b)",0.00892857142857143,0,8,148.55070496,-19.25987816,2494421.948
"Kay Reef (12-010)",0.0277902174453899,0,11,143.28630066,-12.23149204,9478766.326
"Keeper Reef (18-079)",3.65318400110399,0.0408163265306122,17,147.26829529,-18.74611664,7178492.702
"Kelso Reef (18-030)",0.335446246644709,0.00763358778625954,15,146.99006653,-18.43645859,12846085.25
"Knife Reef (18-081)",0.197481119703342,0,18,147.57148743,-18.57635307,16204769.64
"Lady Elliot Island Reef (24-008)",0.0139261784984559,0.0159272558786053,6,152.71542358,-24.11328316,2535900.429
"Lady Musgrave Reef (23-082a)",0.0621932823115194,0.0166666666666667,29,152.38720703,-23.90178299,29521753.43
"Lagoon Reef (12-061)",0.0010989010989011,0,14,143.75706482,-12.38443565,17466048.29
"Lamont Reef (23-076)",0.123832157320818,0.0871110899026532,6,152.0274353,-23.59870148,15245565.06
"Langford-Bird Reef (20-019)",0.00944683908045977,0,16,148.87759399,-20.0883007,1915270.281
