"reefName","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput","x","y","area"
"U/N Reef (11-118b)",NaN,NaN,NaN,144.02575684,-11.14067173,563666.6635
"U/N Reef (11-119)",NaN,NaN,NaN,144.05844116,-11.14598274,12419947.16
"U/N Reef (11-077)",NaN,NaN,NaN,143.9624176,-11.32235336,6389622.884
"U/N Reef (11-078)",NaN,NaN,NaN,143.98179626,-11.32816887,175479.8355
"U/N Reef (11-079)",NaN,NaN,NaN,143.50567627,-11.30826569,5631800.117
"U/N Reef (11-080)",NaN,NaN,NaN,143.67254639,-11.30496693,12093558.9
"U/N Reef (11-081)",NaN,NaN,NaN,143.95658875,-11.34822178,2144208.447
"U/N Reef (11-082)",NaN,NaN,NaN,143.95201111,-11.3558569,1306350.855
"U/N Reef (11-083)",NaN,NaN,NaN,143.96405029,-11.36100101,179296.8918
"U/N Reef (11-084)",NaN,NaN,NaN,143.97657776,-11.36436653,966352.7078
"U/N Reef (11-085)",NaN,NaN,NaN,143.95170593,-11.36373138,225052.947
"U/N Reef (11-087a)",NaN,NaN,NaN,143.94441223,-11.37235832,1560851.761
"U/N Reef (11-087b)",NaN,NaN,NaN,143.95904541,-11.37150669,2700406.794
"U/N Reef (11-088)",NaN,NaN,NaN,143.9599762,-11.38324833,1292609.085
"U/N Reef (11-089a)",NaN,NaN,NaN,143.9783783,-11.39129829,697284.2935
"U/N Reef (11-089b)",NaN,NaN,NaN,143.95849609,-11.39221954,2121042.446
"U/N Reef (11-090)",NaN,NaN,NaN,143.5897522,-11.33642387,6100445.69
"U/N Reef (11-091)",NaN,NaN,NaN,143.96368408,-11.4024229,1162544.972
"U/N Reef (11-092)",NaN,NaN,NaN,143.71549988,-11.37110806,49062726.48
"U/N Reef (11-093)",NaN,NaN,NaN,143.76898193,-11.40065575,5647156.087
"U/N Reef (11-094)",NaN,NaN,NaN,143.9649353,-11.41164684,296955.9486
"U/N Reef (11-095)",NaN,NaN,NaN,143.96955872,-11.41603661,353792.3961
"U/N Reef (11-096)",NaN,NaN,NaN,143.97505188,-11.42115688,346447.2052
"U/N Reef (11-097)",NaN,NaN,NaN,143.97415161,-11.42740726,674900.3596
"Risk Reef (11-098)",NaN,NaN,NaN,143.76768494,-11.42281246,4698708.607
"U/N Reef (11-099)",NaN,NaN,NaN,143.5422821,-11.42419815,54778161.82
"Shadwell Reef (11-100)",NaN,NaN,NaN,143.7689209,-11.45784378,5327542.825
"U/N Reef (11-101)",NaN,NaN,NaN,143.51196289,-11.46584606,7076102.47
"U/N Reef (11-102)",NaN,NaN,NaN,143.96772766,-11.46307278,4545483.666
"U/N Reef (11-157)",NaN,NaN,NaN,143.51637268,-11.55274868,97714003.27
"U/N Reef (11-158)",NaN,NaN,NaN,143.23187256,-11.58026981,8187849.405
"U/N Reef (11-120)",NaN,NaN,NaN,144.06002808,-11.18517208,2716219.387
"U/N Reef (11-121)",NaN,NaN,NaN,144.04362488,-11.19242764,1633475.493
"U/N Reef (11-122)",NaN,NaN,NaN,144.04663086,-11.20068359,1974361.048
"U/N Reef (11-123)",NaN,NaN,NaN,144.05099487,-11.20973969,1578084.683
"U/N Reef (11-124)",NaN,NaN,NaN,144.05621338,-11.21752453,427474.5351
"Stark Reef (11-125)",NaN,NaN,NaN,144.06565857,-11.26131248,16927924.32
"U/N Reef (11-126a)",NaN,NaN,NaN,144.01251221,-11.26356697,220276.3405
"U/N Reef (11-126b)",NaN,NaN,NaN,144.01832581,-11.26926422,1601936.216
"U/N Reef (11-127a)",NaN,NaN,NaN,144.02409363,-11.2616024,736408.2899
"U/N Reef (11-127b)",NaN,NaN,NaN,144.02641296,-11.27613068,704158.3649
"U/N Reef (11-128)",NaN,NaN,NaN,144.03422546,-11.27928543,2120471.199
"U/N Reef (11-129)",NaN,NaN,NaN,144.04411316,-11.27628613,2359973.963
"Moulter Reef (11-130)",NaN,NaN,NaN,144.03823853,-11.42467117,5678725.433
"Saunders Reef (11-131)",NaN,NaN,NaN,144.06993103,-11.49401855,29369730.47
"Hunter Reefs (11-132)",NaN,NaN,NaN,142.8727417,-11.51218605,4713112.262
"U/N Reef (11-133)",NaN,NaN,NaN,142.84375,-11.56365871,5089549.817
"Pirie Reef (11-134)",NaN,NaN,NaN,142.89834595,-11.59038353,1037695.752
"U/N Reef (11-135)",NaN,NaN,NaN,142.85691833,-11.62756252,451489.9426
"Hannibal Islands Reef (11-136)",NaN,NaN,NaN,142.93969727,-11.59758282,3592634.657
"U/N Reef (11-137)",NaN,NaN,NaN,142.90745544,-11.65137577,884442.8694
"MacArthur Islands Reef (11-138)",NaN,NaN,NaN,142.98638916,-11.73176193,2978256.953
"U/N Reef (11-139)",NaN,NaN,NaN,142.97335815,-11.75949955,6432660.894
"U/N Reef (11-140)",NaN,NaN,NaN,142.89595032,-11.76236153,638954.9767
"U/N Reef (11-141)",NaN,NaN,NaN,142.91564941,-11.76965237,1188216.268
"U/N Reef (11-142)",NaN,NaN,NaN,142.93643188,-11.77186203,4813092.032
"U/N Reef (11-143)",NaN,NaN,NaN,142.95544434,-11.77073002,99738.44259
"U/N Reef (11-144)",NaN,NaN,NaN,142.87834167,-11.78083801,148809.0035
"U/N Reef (11-145)",NaN,NaN,NaN,142.85627747,-11.79974651,2731160.853
"Nigger Head Reef (11-146)",NaN,NaN,NaN,142.9365387,-11.79674053,439178.2506
"U/N Reef (11-147)",NaN,NaN,NaN,142.90016174,-11.80533791,1370877.681
"U/N Reef (11-148)",NaN,NaN,NaN,142.89602661,-11.82666588,198811.4749
"U/N Reef (11-149)",NaN,NaN,NaN,142.87564087,-11.84887314,11721654.83
"U/N Reef (11-150)",NaN,NaN,NaN,142.9387207,-11.84314537,275473.2239
"U/N Reef (11-151)",NaN,NaN,NaN,142.99359131,-11.86193657,626263.8303
"U/N Reef (11-152)",NaN,NaN,NaN,142.91256714,-11.87988281,5489411.438
"U/N Reef (11-153)",NaN,NaN,NaN,142.97039795,-11.88442802,192828.2676
"U/N Reef (11-154)",NaN,NaN,NaN,143.08181763,-11.51834106,2380439.82
"U/N Reef (11-155)",NaN,NaN,NaN,143.17790222,-11.53164673,31900920.53
