"reefName","cotsPerTowMean","cotsPerTowMedian","cotsPerTowMax","nObs","x","y","train"
"Nymph Reef (14-115)",0.156659765355418,0,0.80952380952381,6,145.25215149,-14.65499687,TRUE
"Obstruction Reef (21-552)",0.915314401622718,0.5,2.8448275862069,6,152.46665955,-21.96283913,TRUE
"Ogilvie Reef (13-076)",0.00409836065573771,0,0.0163934426229508,4,143.79095459,-13.52589226,TRUE
"Old Reef (19-048)",5.8497435116017,0.161764705882353,21.9194630872483,5,148.08943176,-19.38344193,TRUE
"One Tree Island Reef (23-055a)",0.0600105327471667,0,1.24242424242424,26,152.06114197,-23.4956665,FALSE
"Opal Reef (16-025)",0.0896895579369255,0,2,24,145.8896637,-16.22089005,TRUE
"Osborne Reef (13-006)",0.0583909490886235,0,0.351351351351351,10,143.62623596,-13.04178429,TRUE
"Osterlund Reef (15-078)",0.178502879078695,0,0.714011516314779,4,145.53218079,-15.55632114,TRUE
"Otter Reef (18-018)",0.0327456652657242,0.00253807106598985,0.183333333333333,6,146.55886841,-18.05222702,TRUE
"Outlier Reef (19-120)",0,0,0,5,149.35287476,-19.54730606,TRUE
"Oyster Reef (16-043a)",0.0273095698627614,0,0.276595744680851,11,145.93276978,-16.63996506,TRUE
"Packer Reefs (20-145)",0.0034965034965035,0,0.0384615384615385,11,150.20411682,-20.47503471,FALSE
"Pasco Reef (15-018)",0.158937198067633,0,0.739130434782609,5,145.53305054,-15.04456997,FALSE
"Pearson Reef (11-211)",0.0622561154560465,0,0.294117647058824,11,143.71586609,-11.56678677,TRUE
"Peart Reef (17-024)",0.257539192833311,0,3.24786324786325,17,146.39112854,-17.48226547,TRUE
"Pelican Island Reef (13-107)",0,0,0,6,143.84161377,-13.91487694,TRUE
"Pellowe Reef (16-070)",0,0,0,6,146.35768127,-16.85753441,TRUE
"Penrith Reef (21-025)",0,0,0,5,149.89796448,-21.01667213,TRUE
"Pickersgill Reef (15-093)",0.142463078391979,0,2.00502512562814,24,145.57443237,-15.87277699,FALSE
"Pike Reef (21-549)",0.00123076923076923,0,0.00615384615384615,5,152.42330933,-21.94807434,TRUE
"Pith Reef (18-033)",0.04,0,0.24,6,147.01611328,-18.20892143,TRUE
"Pixie Reef (16-040)",0.030187074829932,0,0.208333333333333,14,145.86245728,-16.54697227,TRUE
"Plaster Reef (19-147)",0.0116666666666667,0,0.05,6,149.66975403,-19.62962532,TRUE
"Pollux Reef (19-027)",1.04308823529412,0.0625,4.8,5,148.30413818,-19.04730606,TRUE
"Pompey Reef (No 1) (20-351a)",0,0,0,10,150.53518677,-20.9407692,TRUE
"Pompey Reef (No 2) (20-351b)",0,0,0,10,150.52845764,-20.98368073,TRUE
"Potter Reef (No 1) (17-059a)",0.895267857472927,0.0333333333333333,5.8,13,146.54440308,-17.69752693,TRUE
"Poulson Reef (21-548)",0.0238095238095238,0,0.0952380952380952,4,152.45889282,-21.93623352,TRUE
"Prawn Reef (19-024)",0.0119247952106826,0,0.0447761194029851,9,148.09669495,-19.02057266,FALSE
"Quoin Reef (12-027)",0.24702380952381,0.0714285714285714,1,8,143.49861145,-12.4230938,TRUE
"Rachel Carson Reef (15-092)",0,0,0,9,145.81944275,-15.82970524,TRUE
"Rafter Reef (19-146)",0,0,0,7,149.6325531,-19.61058044,TRUE
"Rebe Reef (19-209)",0,0,0,21,150.15289307,-19.79887581,TRUE
"Recreation Reef (21-501)",0.189689921040446,0.103968253968254,0.518796992481203,6,152.44134521,-21.6783886,FALSE
"Reg Ward Reef (18-017)",0.00796825396825397,0.00793650793650794,0.016,4,146.7850647,-18.03201485,TRUE
"Rib Reef (18-032)",0.818364031362181,0,8.54545454545454,34,146.8711853,-18.48267555,FALSE
"Ribbon No 1 Reef (15-080)",0,0,0,9,145.80508423,-15.60583305,TRUE
"Ribbon No 10 Reef (14-146)",0,0,0,4,145.69813538,-14.82720089,TRUE
"Ribbon No 2 Reef (No 1) (15-075a)",0,0,0,6,145.79620361,-15.55718899,TRUE
"Ribbon No 3 Reef (15-050)",0,0,0,11,145.80554199,-15.48834705,TRUE
"Ribbon No 4 Reef (15-046)",0,0,0,7,145.8008728,-15.43488216,TRUE
"Ribbon No 5 Reef (15-038)",0,0,0,6,145.78292847,-15.36378002,TRUE
"Ribbon No 6 Reef (15-032)",0,0,0,9,145.75184631,-15.28094673,TRUE
"Ribbon No 7 Reef (15-026)",0,0,0,4,145.7383728,-15.18930244,TRUE
"Ribbon No 8 Reef (15-021a)",0,0,0,5,145.72372437,-15.07281303,TRUE
"Ribbon No 9 Reef (14-154)",0,0,0,12,145.70335388,-14.99295044,TRUE
"Rocky Islets Reef (14-132a)",0.57608764436007,0.00581395348837209,3.24489795918367,6,145.47993469,-14.85496998,TRUE
"Rodda Reef (13-127)",0.0999249497369798,0,1.13888888888889,26,144.35662842,-13.92119122,TRUE
"Rosser Reef (15-081)",0.186130258390828,0,1.20779220779221,13,145.51507568,-15.60728073,TRUE
"Round-Russell Reef (17-013)",0.0132107023411371,0,0.0833333333333333,13,146.09152222,-17.22398567,TRUE
"Roxburgh Reef (18-042)",0,0,0,14,147.05809021,-18.43182755,TRUE
"Ruby Reef (15-088)",0,0,0,12,145.78079224,-15.74977016,TRUE
"Rudder Reef (16-023)",0.20750952475319,0,1.70434782608696,17,145.69342041,-16.19220161,TRUE
"Sanctuary Reef (22-109)",0.690730335806638,0.385964912280702,2.92517006802721,7,152.67567444,-22.06676674,TRUE
"Sand Bank No 1 Reef (14-045)",0,0,0,10,144.89193726,-14.20033455,TRUE
