"x"
"U/N Reef (15-091b)"
"Rachel Carson Reef (15-092)"
"Fitzroy Island Reef (No 2) (16-054b)"
"U/N Reef (16-054c)"
"U/N Reef (16-054d)"
"U/N Reef (16-054e)"
"U/N Reef (16-054f)"
"Sudbury Reef (No 2) (17-001b)"
"Sudbury Reef (No 3) (17-001c)"
"Sudbury Reef (No 4) (17-001d)"
"Stagg Patches (North) (17-002a)"
"Stagg Patches (South) (17-002b)"
"Hervey Shoals (North) (17-003a)"
"Hervey Shoals (South) (17-003b)"
"Scott Reef (17-004)"
"U/N Reef (17-060)"
"U/N Reef (17-061)"
"Noreaster Reef (17-062)"
"Farquharson Reef (No 1) (17-063a)"
"Farquharson Reef (No 2) (17-063b)"
"Pickersgill Reef (15-093)"
"Escape Reef (15-094)"
"Evening Reef (15-095)"
"Agincourt Reefs (No 4) (15-096)"
"U/N Reef (16-054g)"
"Little Fitzroy Island Reef (16-055)"
"Stevens Reef (17-005)"
"Maori Reef (17-006)"
"U/N Reef (17-007)"
"Noggin Reef (17-008)"
"Taylor Reef (17-064)"
"U/N Reef (17-065)"
"Yamacutta Reef (17-066)"
"U/N Reef (17-067)"
"Morning Reef (15-098)"
"Agincourt Reefs (No 3) (15-099a)"
"Agincourt Reefs (No 2a) (15-099b)"
"Agincourt Reefs (No 1) (15-099c)"
"Agincourt Reefs (No 5) (15-099d)"
"Agincourt Reefs (No 2b) (15-099e)"
"U/N Reef (15-800)"
"U/N Reef (15-801)"
"U/N Reef (16-001)"
"U/N Reef (16-056)"
"Hastings Reef (16-057)"
