modelNameMod2,filePathMod2,hydroModelMod2,settlementRadiusMod2,precompPeriodMod2,dateMod2,spawningSeasonMod2,yearMod2,monthDayMod2,mod1IndMod2,mod2IndMod2,dayMod2,spawningSeasonYearMod2
conMat_SLIM_0p5km_compSurvTc12_20191207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191207.mat,SLIM,0.5,12,20191207,2019-20,2019,1207,72,72,7,2019
conMat_SLIM_0p5km_compSurvTc12_20191214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191214.mat,SLIM,0.5,12,20191214,2019-20,2019,1214,73,73,14,2019
conMat_SLIM_0p5km_compSurvTc12_20191221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191221.mat,SLIM,0.5,12,20191221,2019-20,2019,1221,74,74,21,2019
conMat_SLIM_0p5km_compSurvTc12_20191228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20191228.mat,SLIM,0.5,12,20191228,2019-20,2019,1228,75,75,28,2019
conMat_SLIM_0p5km_compSurvTc12_20200101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20200101.mat,SLIM,0.5,12,20200101,2019-20,2020,0101,76,76,32,2019
conMat_SLIM_0p5km_compSurvTc12_20200107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20200107.mat,SLIM,0.5,12,20200107,2019-20,2020,0107,77,77,38,2019
conMat_SLIM_0p5km_compSurvTc12_20200114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20200114.mat,SLIM,0.5,12,20200114,2019-20,2020,0114,78,78,45,2019
conMat_SLIM_0p5km_compSurvTc12_20200121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20200121.mat,SLIM,0.5,12,20200121,2019-20,2020,0121,79,79,52,2019
conMat_SLIM_0p5km_compSurvTc12_20200128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc12/conMat_SLIM_0p5km_compSurvTc12_20200128.mat,SLIM,0.5,12,20200128,2019-20,2020,0128,80,80,59,2019
conMat_SLIM_0p5km_compSurvTc15_20191201,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20191201.mat,SLIM,0.5,15,20191201,2019-20,2019,1201,81,81,1,2019
conMat_SLIM_0p5km_compSurvTc15_20191207,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20191207.mat,SLIM,0.5,15,20191207,2019-20,2019,1207,82,82,7,2019
conMat_SLIM_0p5km_compSurvTc15_20191214,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20191214.mat,SLIM,0.5,15,20191214,2019-20,2019,1214,83,83,14,2019
conMat_SLIM_0p5km_compSurvTc15_20191221,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20191221.mat,SLIM,0.5,15,20191221,2019-20,2019,1221,84,84,21,2019
conMat_SLIM_0p5km_compSurvTc15_20191228,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20191228.mat,SLIM,0.5,15,20191228,2019-20,2019,1228,85,85,28,2019
conMat_SLIM_0p5km_compSurvTc15_20200101,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20200101.mat,SLIM,0.5,15,20200101,2019-20,2020,0101,86,86,32,2019
conMat_SLIM_0p5km_compSurvTc15_20200107,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20200107.mat,SLIM,0.5,15,20200107,2019-20,2020,0107,87,87,38,2019
