"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"Sir Charles Hardy Islands Reef (11-184c)",1,7,0.149337629788758,0.738095238095238,0.0238095238095238
"Nob Reef (11-185)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-186)",NaN,NaN,NaN,NaN,NaN
"Harvey Reef (11-187)",NaN,NaN,NaN,NaN,NaN
"Clerke Reef (11-188)",NaN,NaN,NaN,NaN,NaN
"Perry Reef (11-189)",NaN,NaN,NaN,NaN,NaN
"Cape Grenville Reef (No 1) (11-190a)",NaN,NaN,NaN,NaN,NaN
"Cape Grenville Reef (No 2) (11-190b)",NaN,NaN,NaN,NaN,NaN
"Cape Grenville Reef (No 3) (11-190c)",NaN,NaN,NaN,NaN,NaN
"Hicks Reef (11-191)",NaN,NaN,NaN,NaN,NaN
"Middle Reef (11-192)",NaN,NaN,NaN,NaN,NaN
"Twin Reefs (North) (11-193a)",NaN,NaN,NaN,NaN,NaN
"Twin Reefs (South) (11-193b)",NaN,NaN,NaN,NaN,NaN
"Gore Reef (11-194)",NaN,NaN,NaN,NaN,NaN
"South Reef (11-195)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-196)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-197)",NaN,NaN,NaN,NaN,NaN
"Siddons Reef (11-200)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-201)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-202)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-203)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-204)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-205)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-206)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-207)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-208a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-208b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-209)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-210a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-210b)",NaN,NaN,NaN,NaN,NaN
"Pearson Reef (11-211)",1,11,0.0622561154560465,0.294117647058824,0
"Jukes Reef (11-212)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-213)",NaN,NaN,NaN,NaN,NaN
"Bowles Reef (11-214)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-215)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-216)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-263)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-264)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-217)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-218)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-219)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-220)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-221)",NaN,NaN,NaN,NaN,NaN
"Salamander Reef (11-222b)",NaN,NaN,NaN,NaN,NaN
"Raine Reef (11-243)",NaN,NaN,NaN,NaN,NaN
"Great Detached Reef (No 1) (11-244a)",NaN,NaN,NaN,NaN,NaN
"Great Detached Reef (No 2) (11-244b)",NaN,NaN,NaN,NaN,NaN
"Great Detached Reef (No 3) (11-244c)",NaN,NaN,NaN,NaN,NaN
"Great Detached Reef (No 4) (11-244d)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-245)",NaN,NaN,NaN,NaN,NaN
"Passage Reef (11-246)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-247)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-248)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-249)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-250)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-251)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-252)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-253)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-254)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-255)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-256)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-257)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-258)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-259)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-260)",NaN,NaN,NaN,NaN,NaN
