"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"Saville-Kent Reef (18-099)",1,14,0.399460575657466,4.94444444444444,0
"Saxon Reef (16-032)",0,19,0.00128369704749679,0.024390243902439,0
"Scott Reef (17-004)",1,13,0.0986113278202528,0.913793103448276,0
"Shell Reef (19-028)",1,11,2.11592962592963,20.2222222222222,0.0476190476190476
"Showers Reef (19-076)",1,10,0.126688815060908,0.790697674418605,0
"Shrimp Reef (18-118)",1,18,0.205841161051173,3.27450980392157,0.0157490079365079
"Sinker Reef (22-121)",1,1,185.47619047619,185.47619047619,185.47619047619
"Sir Charles Hardy Islands Reef (11-184c)",1,7,0.149337629788758,0.738095238095238,0.0238095238095238
"Slate Reef (19-159)",0,23,0.00581399277051451,0.0303030303030303,0
"Small Lagoon Reef (21-572)",1,9,0.624842953447072,4.1304347826087,0
"South Direction Reef (North) (14-147a)",1,9,0.159214405199085,1.22222222222222,0.0263157894736842
"South Hixson Reef (22-147b)",1,2,6.79411764705882,13.5882352941176,6.79411764705882
"Spitfire Reefs (East) (16-012b)",1,3,1.86868686868687,5.60606060606061,0
"Spitfire Reefs (West) (16-012a)",1,1,0.333333333333333,0.333333333333333,0.333333333333333
"St Crispin Reef (16-019)",0,30,0.00822650684553025,0.188888888888889,0
"Stanley Reef (19-045)",1,13,1.04147439486525,11.08,0.0123456790123457
"Stapleton Reef (14-054)",1,6,0.0628286093402372,0.302325581395349,0.0135135135135135
"Startle Reefs (15-028)",1,20,0.593092757084708,6.88524590163934,0.0590070357095447
"Stevens Reef (17-005)",1,2,0.176923076923077,0.353846153846154,0.176923076923077
"Sudbury Reef (No 1) (17-001a)",0,8,0.0295573049407348,0.176470588235294,0.00331858407079646
"Sunray Reef (22-131)",1,1,35.1538461538462,35.1538461538462,35.1538461538462
"Sweetlip Reef (22-140)",1,4,1.38185977183229,4.60696517412935,0.451616266944734
"Swinger Reef (15-030)",1,19,0.438391652207442,4.875,0
"Sykes Reef (23-054)",1,7,0.0992232353803483,0.379310344827586,0.046218487394958
"Sylvan Reef (16-017)",1,11,0.234617864405098,1,0
"Taiwan Reef (22-124)",1,3,6.67111111111111,18.68,1.33333333333333
"Taylor Reef (17-064)",1,15,1.76780617771922,18.1666666666667,0
"Tern Reef (20-309)",1,10,2.44799484448952,15.7058823529412,0.0172413793103448
"Thetford Reef (16-068)",1,30,0.040774099598709,0.619047619047619,0
"Three Islands Reef (15-005)",1,8,0.336101398601399,2.13636363636364,0
"Tongue Reef (16-026)",0,18,0.0245615304342408,0.149484536082474,0.00259856958955276
"Trunk Reef (18-027)",1,9,0.784533624983468,4.56976744186047,0.0284237726098191
"Turner Reef (21-562)",1,21,2.89079007374476,24.48,0
"Twins Reef (East) (22-146b)",1,4,2.8125,11.25,0
"Twins Reef (West) (22-146a)",1,4,1.60294117647059,6.41176470588235,0
"Two Islands Reef (15-002)",1,14,0.472459167241776,3.6,0
"Tydeman Reef (13-133)",0,14,0,0,0
"U/N Reef (10-371)",1,2,0.133333333333333,0.266666666666667,0.133333333333333
"U/N Reef (11-039)",1,2,0.25,0.5,0.25
"U/N Reef (11-049)",1,6,0.223206122062829,0.780487804878049,0.0944444444444444
"U/N Reef (13-121)",0,9,0,0,0
"U/N Reef (13-124)",1,22,0.0657883438589585,0.412698412698413,0.0517857142857143
"U/N Reef (14-056)",0,13,0.0142178608936851,0.0816326530612245,0
"U/N Reef (14-075)",0,8,0.0194444444444444,0.155555555555556,0
"U/N Reef (14-132b)",1,6,0.636771191544753,3.74418604651163,0.0119047619047619
"U/N Reef (14-132c)",1,5,0.466666666666667,2.33333333333333,0
"U/N Reef (14-133)",1,8,0.803272575883183,5.78333333333333,0.0340056285178236
"U/N Reef (14-145)",1,4,0.31486568986569,1.07692307692308,0.0912698412698413
"U/N Reef (14-149)",1,4,0.165472233971841,0.631578947368421,0.0151549942594719
"U/N Reef (14-150)",1,2,0.368421052631579,0.736842105263158,0.368421052631579
"U/N Reef (14-163)",1,1,11.2666666666667,11.2666666666667,11.2666666666667
"U/N Reef (15-017b)",1,1,0.375,0.375,0.375
"U/N Reef (15-017c)",1,1,0.655172413793103,0.655172413793103,0.655172413793103
"U/N Reef (15-022)",1,4,0.764785289115646,2.96666666666667,0.0462372448979592
"U/N Reef (15-034)",0,8,0,0,0
"U/N Reef (15-044)",1,1,6.67647058823529,6.67647058823529,6.67647058823529
"U/N Reef (15-047)",1,13,0.216493540317722,2.1,0.0434782608695652
"U/N Reef (15-048)",1,2,0.181818181818182,0.363636363636364,0.181818181818182
"U/N Reef (15-049)",1,3,0.796850158982512,2.26470588235294,0.0945945945945946
"U/N Reef (15-071a)",1,2,0.394230769230769,0.75,0.394230769230769
"U/N Reef (15-071b)",1,1,0.294117647058824,0.294117647058824,0.294117647058824
"U/N Reef (15-076)",1,1,0.571428571428571,0.571428571428571,0.571428571428571
"U/N Reef (15-077)",1,12,0.526002280376289,3.58571428571429,0.0128205128205128
"U/N Reef (16-013a)",0,9,0,0,0
"U/N Reef (16-013b)",0,9,0,0,0
"U/N Reef (16-013c)",1,9,0.101851851851852,0.666666666666667,0
"U/N Reef (16-027)",0,8,0.0125,0.1,0
"U/N Reef (17-060)",1,2,0.916666666666667,1.33333333333333,0.916666666666667
"U/N Reef (17-061)",1,2,0.242222222222222,0.306666666666667,0.242222222222222
"U/N Reef (18-021)",1,1,3.23076923076923,3.23076923076923,3.23076923076923
"U/N Reef (18-023)",1,9,9.87321667018062,85.8333333333333,0
"U/N Reef (19-040)",1,1,0.285714285714286,0.285714285714286,0.285714285714286
"U/N Reef (19-131a)",0,24,0.000293427230046948,0.00704225352112676,0
"U/N Reef (19-138)",1,28,0.0203338967016993,0.517241379310345,0
"U/N Reef (20-104)",1,26,0.439931512189037,6.52173913043478,0
"U/N Reef (20-348)",0,9,0.00407747196738022,0.036697247706422,0
"U/N Reef (20-353)",0,9,0.012991452991453,0.0769230769230769,0
"U/N Reef (20-354)",0,10,0.0224608724608725,0.0952380952380952,0
"U/N Reef (21-060)",1,9,0.526269560594503,2.95652173913043,0
"U/N Reef (21-062)",1,8,0.395163206947406,1.71739130434783,0.151098901098901
"U/N Reef (21-064)",1,10,0.499397860593513,1.875,0.148695652173913
"U/N Reef (21-093)",1,1,0.264705882352941,0.264705882352941,0.264705882352941
"U/N Reef (21-139)",0,12,0.00178197064989518,0.0166666666666667,0
"U/N Reef (21-140)",0,8,0,0,0
"U/N Reef (21-155)",1,1,3.95652173913043,3.95652173913043,3.95652173913043
"U/N Reef (21-187)",1,12,0.168045101155305,0.642857142857143,0.0529891304347826
"U/N Reef (21-198)",1,1,5,5,5
"U/N Reef (21-245)",0,8,0.0170023842859728,0.0350877192982456,0.0170952659263589
"U/N Reef (21-465)",1,6,0.344125783606807,1.75799086757991,0.0661779324055666
"U/N Reef (21-499)",1,2,0.242383512544803,0.444444444444444,0.242383512544803
"U/N Reef (21-521)",1,2,0.5,1,0.5
"U/N Reef (21-529)",0,26,0,0,0
"U/N Reef (21-540)",1,2,0.258241758241758,0.285714285714286,0.258241758241758
"U/N Reef (21-550)",1,12,0.0444444444444444,0.533333333333333,0
"U/N Reef (21-551)",1,6,0.190311962453221,0.78757225433526,0.0622429278938974
"U/N Reef (21-555)",1,4,4.34775128658839,14.0188679245283,1.66281279695914
"U/N Reef (21-557)",1,7,2.7297619047619,13.8333333333333,1
"U/N Reef (21-558)",1,9,0.0887472992017577,0.358208955223881,0.0188679245283019
"U/N Reef (21-560)",1,2,2.47727272727273,4.95454545454545,2.47727272727273
"U/N Reef (21-585)",1,2,9.82352941176471,19.6470588235294,9.82352941176471
"U/N Reef (21-587)",1,1,21.8333333333333,21.8333333333333,21.8333333333333
"U/N Reef (21-590)",1,1,90.8421052631579,90.8421052631579,90.8421052631579
"U/N Reef (21-591)",1,10,0.0448275862068966,0.448275862068966,0
"U/N Reef (21-769)",1,1,1.11111111111111,1.11111111111111,1.11111111111111
"U/N Reef (22-084)",1,14,0.593348869481274,3.33766233766234,0
"U/N Reef (22-085)",1,5,2.72997222101022,13.453488372093,0.0256410256410256
"U/N Reef (22-087)",1,2,1.06593406593407,1.84615384615385,1.06593406593407
"U/N Reef (22-088a)",1,26,0.497550302290945,3.67434210526316,0
"U/N Reef (22-091)",1,1,15.65,15.65,15.65
"U/N Reef (22-092)",1,1,2.85185185185185,2.85185185185185,2.85185185185185
"U/N Reef (22-095)",1,1,5.41666666666667,5.41666666666667,5.41666666666667
"U/N Reef (22-097)",1,2,4.55555555555556,9.11111111111111,4.55555555555556
"U/N Reef (22-098)",1,3,4.03809523809524,9.31428571428571,2.8
"U/N Reef (22-101)",1,1,0.708333333333333,0.708333333333333,0.708333333333333
"U/N Reef (22-105)",1,1,6.625,6.625,6.625
"U/N Reef (22-106)",1,1,121.133333333333,121.133333333333,121.133333333333
"U/N Reef (22-110)",1,5,0.536111111111111,1.55555555555556,0.125
"U/N Reef (22-112)",1,7,1.01025641025641,3.30769230769231,0.230769230769231
"U/N Reef (22-113)",1,5,7.26015067862894,35.7916666666667,0.0434782608695652
"U/N Reef (22-114)",1,5,0.672587719298246,1.73684210526316,0.333333333333333
"U/N Reef (22-115)",1,2,6.05555555555556,12.1111111111111,6.05555555555556
"U/N Reef (22-117)",1,5,3.00719280719281,14.7142857142857,0.0909090909090909
"U/N Reef (22-118)",1,7,3.23020186335404,16.4375,0
"U/N Reef (22-119)",1,1,4.38095238095238,4.38095238095238,4.38095238095238
"U/N Reef (22-123)",1,4,1.96969696969697,7.87878787878788,0
"U/N Reef (22-125)",1,2,3.23333333333333,6.46666666666667,3.23333333333333
"U/N Reef (22-126)",1,2,1.75,3.5,1.75
"U/N Reef (22-127)",1,1,21,21,21
"U/N Reef (22-128)",1,3,4.43478260869565,13.304347826087,0
"U/N Reef (22-129)",1,3,1.08,3.24,0
"U/N Reef (22-132)",1,1,17,17,17
"U/N Reef (22-134)",1,3,1.49122807017544,4.47368421052632,0
"U/N Reef (22-136)",1,2,2.13157894736842,4.26315789473684,2.13157894736842
"U/N Reef (22-137)",1,2,1,2,1
"U/N Reef (22-138)",1,1,18.1428571428571,18.1428571428571,18.1428571428571
"U/N Reef (22-139)",1,4,2.00833333333333,8.03333333333333,0
"U/N Reef (22-142)",1,2,28.2083333333333,56.4166666666667,28.2083333333333
"U/N Reef (22-143)",1,9,1.85041694578676,11.2658227848101,0.0149253731343284
"U/N Reef (22-144)",1,10,0.803526821297625,6.76470588235294,0.110975609756098
"U/N Reef (22-147a)",1,4,2.47840073529412,7.53125,1.19117647058824
"Undine Reef (East) (16-020b)",0,8,0.0131628787878788,0.075,0
"Undine Reef (West) (16-020a)",1,15,0.0549442967969765,0.333333333333333,0
"Upolu Reef (16-046)",0,10,0.0296666666666667,0.133333333333333,0
"Vicki Harriott Reef (15-070)",1,4,0.226344086021505,0.89247311827957,0.00645161290322581
"Viper Reef (18-112)",0,16,0.012670647399421,0.111111111111111,0
"Vlasoff Reef (16-044b)",1,16,0.0788600470430108,1.21875,0
"Wade Reef (21-588)",1,12,0.106599954130916,1.01408450704225,0
