"reefName","cotsPerTowMaxImput","cotsPerTowMeanImput","cotsPerTowMedianImput","x","y","area"
"U/N Reef (21-134)",0.131904761904762,0.0802097009028344,0.0251988345505426,151.27459717,-21.38881302,2450885.626
"U/N Reef (21-221)",0.120412972730333,0.19622679614286,0.0129424672452015,152.43005371,-21.14411545,4415795.173
"U/N Reef (21-222)",0.0776860336552171,0.194743549038252,0.0150501863604426,152.30873108,-21.15453339,1797692.212
"U/N Reef (21-223)",0.0201095537438444,0.185216455619953,0.0142976770424205,152.19186401,-21.1681118,485772.2802
"U/N Reef (21-224)",0.120412972730333,0.207367536200231,0.0137037888478604,152.47795105,-21.1655426,2182156.172
"U/N Reef (21-225)",0.0234611460344851,0.0449117459687272,0.0136546787178608,152.09559631,-21.19787979,1315333.611
"U/N Reef (21-226)",0.108855247162846,0.186120211118092,0.012261284758612,152.3710022,-21.17719841,209669.695
"U/N Reef (21-227)",0.108855247162846,0.186120211118092,0.012261284758612,152.39749146,-21.17647552,4251407.59
"Temple Island Reef (21-308)",NaN,NaN,NaN,149.48971558,-21.60212898,1501395.325
"U/N Reef (21-309)",NaN,NaN,NaN,149.47203064,-21.60445595,546420.0925
"U/N Reef (21-310)",NaN,NaN,NaN,149.44360352,-21.64638519,2124221.008
"U/N Reef (21-312)",NaN,NaN,NaN,149.45639038,-21.67543983,1040251.59
"U/N Reef (21-313)",NaN,NaN,NaN,149.47171021,-21.71211052,623841.0755
"U/N Reef (21-314)",NaN,NaN,NaN,149.46852112,-21.73969078,1375674.831
"U/N Reef (21-315)",NaN,NaN,NaN,149.46368408,-21.82425308,335064.3775
"West Hill Reef (21-316)",NaN,NaN,NaN,149.48408508,-21.83606529,1988917.002
"Coquet Reef (21-417)",NaN,NaN,NaN,150.09715271,-21.93717957,578722.0904
"Hunter Island Reef (No 1) (21-418a)",NaN,NaN,NaN,150.13188171,-21.95026779,2526088.07
